Season,Make,Entries,Wins,Top5,Top10,Avg_Finish,Win_Rate_Per_entry
1953,Plymouth,115,0,11,43,15.652173913043478,0.0
1954,Oldsmobile,319,11,65,113,16.598746081504704,3.4482758620689653
1980,Chevrolet,693,22,108,207,18.07070707070707,3.1746031746031744
1998,Ford,726,15,100,176,21.84573002754821,2.066115702479339
1958,Pontiac,70,3,13,27,17.742857142857144,4.285714285714286
1980,Buick,54,0,3,6,23.296296296296298,0.0
1976,Ford,118,1,19,38,19.194915254237287,0.847457627118644
1951,Plymouth,265,2,44,102,15.60377358490566,0.7547169811320755
1966,Pontiac,21,0,0,4,19.761904761904763,0.0
2019,Ford,548,10,71,151,18.874087591240876,1.824817518248175
1953,Mercury,13,0,0,3,17.846153846153847,0.0
1962,Ford,312,6,27,76,18.15705128205128,1.9230769230769231
1990,Buick,105,1,6,15,21.285714285714285,0.9523809523809524
1965,Mercury,38,1,10,16,16.657894736842106,2.631578947368421
1967,Pontiac,17,0,0,2,25.88235294117647,0.0
1986,Pontiac,226,2,9,35,21.376106194690266,0.8849557522123894
1951,Packard Motor Car Company,9,0,2,4,20.77777777777778,0.0
1952,Lincoln,9,0,0,4,20.22222222222222,0.0
1982,Dodge,28,0,0,7,13.785714285714286,0.0
1986,Chevrolet,388,18,80,119,19.38144329896907,4.639175257731959
1963,Mercury,129,1,15,51,15.666666666666666,0.7751937984496124
1960,Pontiac,75,7,21,27,18.613333333333333,9.333333333333334
1960,Oldsmobile,29,0,0,1,27.96551724137931,0.0
1996,Chevrolet,387,17,74,113,20.302325581395348,4.3927648578811365
2011,Toyota,423,6,39,78,24.479905437352247,1.4184397163120568
1968,Buick,33,0,0,9,18.242424242424242,0.0
1976,Mercury,51,10,31,37,9.529411764705882,19.607843137254903
1980,Oldsmobile,178,3,20,36,21.707865168539325,1.6853932584269662
2025,Chevrolet,585,15,67,144,19.77948717948718,2.564102564102564
1953,Volkswagon,1,0,0,0,19.0,0.0
1965,Chevrolet,244,0,17,66,18.10655737704918,0.0
1990,Ford,262,11,57,104,16.625954198473284,4.198473282442748
1950,Oldsmobile,150,10,33,53,17.96,6.666666666666667
1953,Buick,1,0,0,0,17.0,0.0
1957,Oldsmobile,78,4,21,44,11.705128205128204,5.128205128205128
1989,Buick,132,1,14,33,20.007575757575758,0.7575757575757576
1992,Pontiac,172,3,15,31,22.66860465116279,1.744186046511628
1992,Buick,7,0,0,0,27.142857142857142,0.0
1954,Cadillac,6,0,0,1,25.833333333333332,0.0
1952,Oldsmobile,177,3,38,64,17.570621468926554,1.694915254237288
1983,Chrysler,29,0,0,0,21.96551724137931,0.0
1976,Matador,1,0,0,0,15.0,0.0
1962,Austin-Healey,1,0,0,0,17.0,0.0
1961,Sprite,1,0,0,0,23.0,0.0
1972,Oldsmobile,3,0,0,0,26.0,0.0
1961,Austin-Healey,1,0,0,0,15.0,0.0
1972,Pontiac,5,0,1,1,22.6,0.0
1974,-,11,1,4,5,14.272727272727273,9.090909090909092
1962,Oldsmobile,1,0,0,0,39.0,0.0
1967,Buick,2,0,0,0,27.5,0.0
1961,-,1,0,0,0,18.0,0.0
1973,Pontiac,3,0,0,0,21.666666666666668,0.0
1961,Studebaker,2,0,0,0,33.5,0.0
1962,Alfa,1,0,0,0,22.0,0.0
1974,Pontiac,3,0,0,0,38.333333333333336,0.0
1958,Buick,1,0,0,1,9.0,0.0
1974,American Motors Company,1,0,1,1,4.0,0.0
1962,Morris Garage,4,0,0,0,19.5,0.0
1964,Oldsmobile,2,0,0,0,28.0,0.0
1962,Sprite,3,0,0,0,20.666666666666668,0.0
1961,Morris Garage,1,0,0,0,13.0,0.0
1980,Chrysler,1,0,0,0,34.0,0.0
1949,Studebaker,1,0,0,0,21.0,0.0
1954,Jaguar,13,1,3,4,23.384615384615383,7.6923076923076925
1954,Porsche,1,0,0,0,16.0,0.0
1954,Morris Garage,5,0,0,0,26.6,0.0
1963,Oldsmobile,2,0,0,0,20.5,0.0
1961,Edsel,1,0,0,0,19.0,0.0
1961,Nash Motor Company,1,0,0,0,38.0,0.0
1957,Lincoln,2,0,0,0,16.5,0.0
2026,,1,0,0,0,,0.0
