Season,Track,Track_Type,Total_Entries,Races_At_Track,Avg_Laps,Min_Laps,Max_Laps,Lead_Lap_Finishers,Different_Winners
1952,Monroe County Fairgrounds,short,37,2,143.8108108108108,0.0,200.0,4,1
1965,Cleveland County Fairgrounds,short,34,2,135.5,12.0,200.0,2,1
2000,Bristol Motor Speedway,short,86,2,454.90697674418607,22.0,500.0,25,1
1990,Michigan International Speedway,intermediate,81,2,167.7283950617284,15.0,200.0,34,2
1997,Phoenix Raceway,intermediate,43,1,297.2325581395349,39.0,312.0,7,1
2025,Daytona International Speedway,intermediate,81,2,158.64197530864197,27.0,201.0,49,2
1974,North Wilkesboro Speedway,intermediate,60,2,255.05,1.0,400.0,3,2
2009,Watkins Glen International,road course,43,1,79.0,8.0,90.0,28,1
1993,Talladega Superspeedway,superspeedway,83,2,160.74698795180723,12.0,188.0,33,2
2014,Kansas Speedway,intermediate,86,2,242.17441860465115,17.0,267.0,37,2
1951,Airbase Speedway,short,15,1,200.0,200.0,200.0,1,1
1971,South Boston Speedway,short,28,1,156.25,6.0,281.0,1,1
2015,New Hampshire Motor Speedway,intermediate,86,2,286.8488372093023,35.0,301.0,39,2
1957,Hickory Speedway,short,25,1,182.08,31.0,250.0,6,1
2016,Kansas Speedway,intermediate,80,2,255.8875,36.0,267.0,41,2
2006,Dover International Speedway,intermediate,86,2,359.3837209302326,39.0,400.0,30,2
2020,Michigan International Speedway,intermediate,78,2,153.0,58.0,161.0,60,1
1995,Darlington Raceway,intermediate,84,2,282.1904761904762,47.0,367.0,21,2
2025,Circuit of the Americas,road course,37,1,92.13513513513513,49.0,95.0,34,1
2004,Daytona International Speedway,intermediate,86,2,153.3139534883721,7.0,200.0,43,2
1951,Altamont-Schenectady Fairgrounds,short,20,1,200.0,200.0,200.0,1,1
1993,Sonoma Raceway,road course,43,1,69.53488372093024,27.0,74.0,14,1
1968,Atlanta Motor Speedway,intermediate,84,2,190.07142857142858,4.0,334.0,6,2
1987,Michigan International Speedway,intermediate,80,2,168.15,22.0,200.0,16,2
1958,Wilson Speedway,short,22,1,146.45454545454547,10.0,200.0,1,1
1953,Charlotte Speedway,intermediate,28,1,149.8,149.0,150.0,4,1
1968,Smokey Mountain Raceway,short,47,2,135.9787234042553,1.0,200.0,3,1
1994,Daytona International Speedway,intermediate,85,2,160.4470588235294,20.0,200.0,32,2
2005,Dover International Speedway,intermediate,86,2,348.0813953488372,8.0,404.0,22,2
1956,Charlotte Speedway,intermediate,79,3,96.72151898734177,0.0,134.0,7,3
1967,Montgomery Motor Speedway,short,21,1,119.9047619047619,0.0,200.0,2,1
2001,Pocono Raceway,intermediate,86,2,188.08139534883722,34.0,200.0,37,2
2015,Kentucky Speedway,intermediate,43,1,255.06976744186048,17.0,267.0,26,1
2005,Darlington Raceway,intermediate,43,1,337.74418604651163,24.0,370.0,19,1
1957,North Wilkesboro Speedway,intermediate,46,2,123.08695652173913,0.0,160.0,10,2
2024,Iowa Speedway,intermediate,36,1,337.6388888888889,54.0,350.0,14,1
1957,Old Bridge Stadium,short,23,1,160.69565217391303,19.0,200.0,4,1
2007,Talladega Superspeedway,superspeedway,86,2,168.4418604651163,22.0,192.0,47,1
